mission,koi_id,koi_time0bk,koi_period,koi_duration,koi_is_planet
Kepler, 8414716,171.727070,5.392027,0.124183,1
Kepler, 9141746,174.633553,6.491683,0.179208,1
Kepler, 9159275,172.019160,3.044771,0.417225,0
Kepler, 9166862,170.678784,3.855604,0.134079,1
Kepler, 9166870,170.679570,3.855599,0.132625,0
Kepler, 11449844,151.852812,38.478766,0.210070,1
Kepler, 8605074,194.713383,37.601661,0.346085,0
Kepler, 8628973,171.313058,3.314947,0.075029,1
Kepler, 8655354,173.357760,6.719691,0.125963,0
Kepler, 8672910,206.596798,39.643155,0.272050,1
Kepler, 8686150,173.535933,51.425986,0.705925,0
Kepler, 8689031,190.497370,21.804516,0.142071,1
Kepler, 8689373,175.339880,10.281946,0.143192,1
Kepler, 8689373,182.615350,18.119930,0.176288,1
Kepler, 8689373,133.281330,3.784029,0.079217,1
Kepler, 8826878,171.638900,5.154481,0.134500,1
Kepler, 5897826,202.259731,33.803644,0.478387,0
Kepler, 8883593,174.898924,5.743470,0.143383,1
Kepler, 9016295,171.630091,19.974485,0.176450,0
Kepler, 9077124,170.966145,3.166354,0.138038,1
Kepler, 9097120,188.982797,23.899634,0.159117,0
Kepler, 9466668,170.533600,3.388012,0.111871,1
Kepler, 9466668,132.092610,5.839098,0.132979,1
Kepler, 9466668,132.063880,1.620468,0.091200,1
Kepler, 9466668,131.550820,10.681695,0.150208,1
Kepler, 9479273,169.573477,6.104849,0.195467,1
Kepler, 8359498,134.030419,3.578781,0.121287,1
Kepler, 9171801,171.649760,3.187068,0.129958,0
Kepler, 9334289,173.011411,5.826658,0.121596,1
Kepler, 9334289,142.540390,12.412163,0.155792,1
Kepler, 9334289,147.130740,18.746490,0.162292,1
Kepler, 9347899,180.017757,20.860212,0.216404,1
Kepler, 9347899,141.169540,42.634278,0.258325,1
Kepler, 9347899,134.942220,87.647607,0.369625,1
Kepler, 9388479,178.415842,9.467821,0.101363,1
Kepler, 9388479,134.540342,0.893041,0.045754,1
Kepler, 11359879,136.329435,4.942783,0.135561,1
Kepler, 9406990,176.585690,20.834267,0.168558,1
Kepler, 9415172,171.701920,9.946024,0.141092,1
Kepler, 9415172,133.919120,1.045622,0.078979,1
Kepler, 9415172,132.638660,5.714624,0.097333,1
Kepler, 9904059,158.074730,102.964195,0.655625,0
Kepler, 3231341,140.568110,8.145160,0.211375,1
Kepler, 3231341,144.741570,18.998528,0.188708,1
Kepler, 3231341,137.066430,4.244390,0.136750,1
Kepler, 7626506,143.831500,28.574269,0.205946,1
Kepler, 10485069,133.523120,0.445277,0.147458,0
Kepler, 3233043,170.248016,0.379464,0.036207,0
Kepler, 6579806,173.608672,9.880480,0.116024,0
Kepler, 3560301,261.093950,4.648416,1.591412,0
Kepler, 4044005,174.282592,17.512015,0.076033,0
Kepler, 5802246,133.744359,0.525154,0.089338,0
Kepler, 6066403,134.212059,1.303861,0.168921,0
Kepler, 6209637,133.431080,0.734525,0.279167,0
Kepler, 5988031,134.500780,2.555492,0.378458,0
Kepler, 7684873,171.522978,2.947377,0.087129,0
Kepler, 8559644,142.095338,224.778935,0.466246,1
Kepler, 2851100,133.264700,0.890111,0.036558,0
Kepler, 3130300,133.309410,5.765734,0.121833,0
Kepler, 3240158,139.900390,7.426081,0.151579,1
Kepler, 3240158,137.596400,15.986893,0.173250,1
Kepler, 3228959,133.688760,0.730946,0.180000,0
Kepler, 3218908,149.495580,18.925372,0.165979,1
Kepler, 10341913,134.318310,0.933749,0.177333,0
Kepler, 10480921,133.599620,2.037441,0.143417,0
Kepler, 10350571,142.964900,31.592581,0.565250,1
Kepler, 3749365,178.689419,1.973761,0.076059,1
Kepler, 11673674,133.386535,4.618768,0.249821,0
Kepler, 3632418,260.837310,2.785821,0.148329,1
Kepler, 3441784,184.971267,52.569019,0.281279,0
Kepler, 5820218,133.180860,3.411759,0.131583,0
Kepler, 5876368,133.187901,0.525426,0.045004,0
Kepler, 5809890,133.343682,1.269091,0.061029,1
Kepler, 5809890,133.796780,2.853134,0.061042,1
Kepler, 9048161,137.341841,8.667822,0.206908,0
Kepler, 3218908,131.832720,1.475323,0.096479,1
Kepler, 3218908,134.579910,4.152461,0.107312,1
Kepler, 3235672,134.777598,6.721078,0.310833,0
Kepler, 2837111,135.081800,8.734885,0.187083,1
Kepler, 3120276,136.496630,10.265477,0.155542,0
Kepler, 3547091,180.681540,3.305578,0.107929,0
Kepler, 3869825,134.365782,4.800654,0.376746,0
Kepler, 3655332,140.654788,15.066499,0.249521,0
Kepler, 4042026,163.015559,34.820082,0.465462,0
Kepler, 3344419,133.111707,0.651784,0.083921,0
Kepler, 11192141,261.436620,1.353772,0.292167,0
Kepler, 11494130,262.466770,18.954916,1.010375,0
Kepler, 5648449,262.727680,4.348866,0.136654,0
